Sr,Language Code,Language
1,af_ZA,Afrikaans (South Africa)
2,an_ES,Aragonese - Spain (ES)
3,ar,Arabic
4,be_BY,Belarusian
5,bg_BG,Bulgarian
6,bn_BD,Bengali
7,bo,Tibetan
8,br_FR,Breton - France
9,bs_BA,Bosnian
10,ca,Catalan
11,cs_CZ,Czech
12,da_DK,Danish
13,de,German
14,el_GR,Greek
15,en,English
16,es,Spanish
17,et_EE,Estonian
18,gd_GB,Gaelic
19,gl,Galician
20,gu_IN,Gujarati
21,gug,Guarani
22,he_IL,Hebrew
23,hi_IN,Hindi
24,hr_HR,Croatian
25,id,Indonesian
26,it_IT,Italian
27,kmr_Latn,Kurdish (Turkey)
28,lo_LA,Lao
29,lt_LT,Lithuanian
30,lv_LV,Latvian
31,ne_NP,Nepali
32,nl_NL,Dutch
33,no,Norwegian
34,oc_FR,Occitan
35,pl_PL,Polish
36,pt_BR,Brazilian Portuguese
37,pt_PT,Portuguese
38,ro,Romanian
39,ru_RU,Russian
40,si_LK,Sinhalese
41,sk_SK,Slovak
42,sl_Sl,Slovenian
43,sq_AL,Albanian
44,sr,Serbian
45,sv_SE,Swedish
46,sw_TZ,Swahili
47,te_IN,Telugu
48,th_TH,Thai
49,tr_TR,Turkish
51,uk_UA,Ukrainian
52,vi,Vietnamese
53,zu_ZA,Zulu(spell dict not avail)
